FeatName	RelFeatImp
ASV96	100.0
ASV9	99.47
ASV65	81.32
ASV292	77.1
ASV7	67.63
ASV352	67.47
ASV129	61.95
ASV52	58.98
ASV283	58.96
ASV197	58.75
ASV69	55.85
ASV36	55.83
ASV56	53.13
ASV297	52.13
ASV83	50.21
ASV37	50.03
ASV57	49.73
ASV284	48.7
ASV117	47.59
ASV99	47.41
ASV48	47.09
ASV3	45.78
ASV25	45.67
ASV131	45.61
ASV55	44.41
ASV39	44.4
ASV106	44.14
ASV208	43.93
ASV26	43.52
ASV22	43.21
ASV115	41.88
ASV299	40.92
ASV81	40.34
ASV95	39.05
ASV91	38.95
ASV104	38.58
ASV1	38.35
ASV20	37.72
ASV4	37.71
ASV43	37.54
ASV10	36.93
ASV59	36.92
ASV60	36.9
ASV198	36.16
ASV8	36.03
ASV68	35.95
ASV47	35.36
ASV15	34.92
ASV128	34.79
ASV2	34.72
ASV140	34.39
random_variable1	34.36
ASV309	33.72
ASV18	33.42
ASV90	33.26
ASV103	33.17
ASV245	32.96
ASV132	32.54
ASV21	32.34
ASV11	32.07
ASV78	31.31
ASV17	31.19
ASV163	30.78
ASV31	30.47
ASV14	30.41
ASV73	30.13
ASV388	29.72
ASV5	28.11
ASV110	27.98
ASV335	27.66
ASV24	27.5
ASV234	27.16
ASV38	27.15
ASV491	27.07
ASV127	26.74
ASV19	26.53
ASV82	26.51
ASV243	26.3
ASV34	26.22
ASV144	25.99
ASV270	25.95
ASV50	25.92
ASV72	25.86
ASV166	25.74
ASV133	25.54
ASV27	25.52
ASV6	25.28
ASV85	24.71
ASV419	24.39
ASV45	23.82
ASV74	23.78
ASV209	23.5
ASV13	23.42
ASV177	23.24
ASV262	23.09
ASV49	23.07
ASV54	23.01
ASV220	22.59
ASV46	22.58
ASV121	22.2
ASV108	22.17
ASV293	22.04
ASV224	21.75
ASV63	21.74
ASV204	21.64
ASV30	21.53
ASV141	21.4
ASV62	21.33
ASV148	21.28
ASV28	21.08
ASV23	20.88
ASV16	20.87
ASV187	20.79
ASV71	20.72
ASV401	20.65
ASV285	20.53
ASV156	20.47
ASV307	20.27
ASV201	20.2
ASV58	19.93
ASV125	19.79
ASV136	19.68
ASV67	19.54
ASV12	19.27
ASV193	18.84
ASV123	18.47
ASV379	18.18
ASV64	18.13
ASV155	18.08
ASV383	17.77
ASV371	17.64
random_variable2	17.6
ASV92	17.25
ASV87	16.85
ASV246	16.83
ASV184	16.8
ASV289	16.73
ASV84	16.53
ASV186	16.34
ASV251	16.29
ASV240	16.23
ASV138	16.03
ASV321	16.02
ASV114	15.98
ASV32	15.98
ASV86	15.93
ASV180	15.8
ASV326	15.76
ASV175	15.68
ASV124	15.34
ASV158	14.25
ASV217	14.15
ASV89	14.08
ASV33	13.85
ASV281	13.59
ASV320	13.5
ASV152	13.48
ASV212	13.23
ASV112	13.1
ASV29	12.95
ASV42	12.9
ASV98	12.84
ASV53	12.71
ASV109	12.65
ASV196	12.6
ASV237	12.15
ASV172	12.1
ASV79	12.03
ASV137	11.49
ASV218	11.43
ASV134	11.43
ASV303	11.41
ASV44	11.19
ASV408	10.86
ASV143	10.14
ASV485	9.14
ASV449	8.98
ASV482	8.71
ASV76	8.16
ASV176	7.16
ASV333	7.13
ASV447	6.14
ASV227	5.53
ASV80	5.32
ASV170	5.02
ASV336	3.48
