FeatName	RelFeatImp
ASV99	100.0
ASV16	98.14
ASV92	87.8
ASV143	82.36
ASV68	74.05
ASV141	70.39
ASV240	60.48
ASV388	60.17
ASV30	53.78
ASV10	53.61
ASV166	53.6
ASV84	48.85
ASV58	48.76
ASV38	47.41
ASV198	47.28
ASV36	47.11
ASV196	47.05
ASV54	45.83
ASV45	44.37
ASV89	43.97
ASV71	43.74
ASV32	43.54
ASV186	42.42
ASV73	42.36
ASV127	41.75
ASV4	40.69
ASV31	40.5
ASV37	40.16
ASV243	37.91
random_variable1	37.3
ASV33	36.87
ASV379	36.8
ASV7	36.79
ASV128	36.75
ASV158	36.56
ASV245	36.47
ASV112	36.47
ASV5	36.18
ASV15	36.04
ASV270	35.35
ASV50	35.22
ASV47	34.0
ASV303	33.55
ASV39	33.19
ASV117	32.87
ASV98	32.76
ASV18	32.54
ASV123	31.67
ASV197	31.62
ASV81	31.46
ASV284	31.05
ASV9	30.3
ASV27	30.16
ASV309	30.07
ASV23	29.71
ASV21	29.46
ASV227	29.32
ASV2	29.2
ASV14	28.9
ASV46	28.74
ASV3	28.41
ASV79	28.21
ASV138	27.87
ASV43	27.53
ASV121	27.36
ASV83	27.19
ASV17	24.95
ASV65	24.76
ASV56	24.64
ASV482	24.52
ASV383	24.38
ASV85	24.18
ASV96	23.81
ASV26	23.6
ASV12	23.09
ASV108	23.04
ASV29	22.97
ASV401	22.57
ASV114	22.54
ASV237	22.36
ASV155	22.18
ASV8	22.05
ASV42	22.05
ASV22	21.94
ASV90	21.77
ASV63	20.88
ASV28	20.65
ASV76	20.62
ASV133	20.2
ASV80	19.69
ASV320	19.68
ASV132	19.6
ASV491	19.57
ASV24	19.52
ASV19	19.36
ASV82	19.14
ASV74	18.84
ASV11	18.79
ASV281	18.79
ASV289	18.49
ASV57	18.44
ASV69	18.35
ASV86	18.19
ASV371	18.07
ASV6	17.87
ASV220	17.85
ASV95	17.71
ASV144	17.64
ASV163	17.46
ASV124	17.43
ASV1	17.32
ASV335	17.06
ASV34	16.75
ASV177	16.46
ASV60	16.45
ASV485	16.29
ASV184	16.23
ASV87	15.94
ASV193	15.65
ASV44	15.53
ASV103	15.45
ASV13	15.35
ASV246	15.3
ASV52	15.0
ASV62	14.99
ASV234	14.75
ASV25	14.49
ASV218	14.38
ASV125	14.37
ASV408	14.31
ASV106	14.26
ASV48	14.24
ASV67	13.84
ASV299	13.78
ASV175	13.62
random_variable2	13.6
ASV49	13.47
ASV201	13.37
ASV55	13.19
ASV321	12.9
ASV53	12.79
ASV333	12.76
ASV78	12.61
ASV20	12.57
ASV59	11.72
ASV217	11.71
ASV293	11.62
ASV72	11.5
ASV292	11.35
ASV251	11.29
ASV285	11.19
ASV212	11.16
ASV172	10.64
ASV91	10.56
ASV115	9.75
ASV187	9.69
ASV447	9.66
ASV148	9.59
ASV140	8.87
ASV262	8.84
ASV156	8.6
ASV297	8.5
ASV129	8.24
ASV64	8.09
ASV110	8.08
ASV326	8.06
ASV419	7.75
ASV104	7.61
ASV208	7.48
ASV283	7.38
ASV137	7.16
ASV204	7.06
ASV449	6.96
ASV224	6.63
ASV352	6.51
ASV134	6.49
ASV170	6.47
ASV209	6.46
ASV136	6.28
ASV176	5.44
ASV109	4.39
ASV152	3.52
ASV180	2.84
