FeatName	RelFeatImp
ASV13	100.0
ASV14	71.18
ASV16	50.48
ASV114	47.65
ASV95	44.5
ASV42	43.27
ASV48	41.05
ASV57	40.94
ASV5	40.33
ASV29	40.01
ASV333	39.58
ASV67	38.86
ASV90	38.5
ASV98	38.42
ASV50	36.92
ASV251	35.12
ASV26	34.07
ASV62	33.3
ASV96	33.15
ASV2	30.81
ASV22	27.73
ASV37	27.64
ASV45	26.72
ASV155	26.44
ASV31	26.28
ASV141	25.96
ASV193	25.51
ASV74	25.24
ASV19	24.97
ASV320	24.02
ASV72	23.77
ASV148	23.52
ASV379	23.4
ASV46	23.32
ASV388	23.26
ASV58	22.97
ASV177	22.9
ASV6	22.81
ASV321	22.65
ASV55	22.6
ASV52	22.52
ASV180	21.83
ASV125	21.52
ASV83	21.3
ASV175	21.08
ASV11	21.06
ASV485	20.71
ASV156	20.32
ASV292	20.31
ASV64	20.03
random_variable1	19.61
ASV33	18.69
ASV18	18.25
ASV89	18.19
ASV23	17.92
ASV12	17.73
ASV283	17.5
ASV137	17.49
ASV9	17.46
ASV8	17.24
ASV20	16.95
ASV44	16.24
ASV123	16.01
ASV17	15.98
ASV36	15.87
ASV79	15.25
ASV289	14.5
ASV7	14.46
ASV237	14.41
ASV184	14.36
ASV152	14.1
ASV34	14.04
ASV21	13.88
ASV10	13.86
ASV187	13.8
ASV209	13.76
ASV85	13.71
ASV39	13.59
ASV3	13.31
ASV32	12.65
ASV121	12.62
ASV326	12.54
ASV99	12.16
ASV53	12.04
ASV1	12.02
ASV115	11.96
ASV30	11.88
ASV27	11.42
ASV73	11.4
ASV59	11.37
random_variable2	11.17
ASV112	11.05
ASV63	10.9
ASV87	10.81
ASV201	10.62
ASV68	10.54
ASV80	10.42
ASV81	10.38
ASV24	10.34
ASV170	10.28
ASV38	10.17
ASV128	10.11
ASV84	10.0
ASV309	9.98
ASV28	9.89
ASV303	9.58
ASV234	9.46
ASV166	9.39
ASV186	9.22
ASV281	9.18
ASV408	9.14
ASV4	8.75
ASV299	8.71
ASV117	8.64
ASV136	8.54
ASV43	8.31
ASV335	8.24
ASV284	7.85
ASV25	7.79
ASV401	7.62
ASV56	7.52
ASV245	7.34
ASV78	7.31
ASV204	7.3
ASV143	7.18
ASV82	7.11
ASV129	7.1
ASV243	7.07
ASV163	7.06
ASV92	6.96
ASV246	6.73
ASV132	6.65
ASV65	6.55
ASV54	6.32
ASV86	6.13
ASV208	6.13
ASV227	6.09
ASV47	6.06
ASV71	6.05
ASV49	6.05
ASV76	6.0
ASV220	5.92
ASV138	5.84
ASV91	5.78
ASV108	5.67
ASV491	5.3
ASV103	5.13
ASV69	4.97
ASV240	4.8
ASV110	4.78
ASV127	4.37
ASV270	4.23
ASV60	4.06
ASV293	3.95
ASV15	3.92
ASV133	3.87
ASV447	3.81
ASV197	3.78
ASV371	3.72
ASV285	3.25
ASV482	3.23
ASV140	3.16
ASV158	2.94
ASV144	2.91
ASV224	2.91
ASV262	2.9
ASV109	2.83
ASV176	2.81
ASV106	2.77
ASV124	2.55
ASV297	2.55
ASV419	2.43
ASV134	2.27
ASV449	2.2
ASV217	2.15
ASV172	2.01
ASV352	2.01
ASV196	1.89
ASV218	1.82
ASV198	1.54
ASV383	1.53
ASV104	1.35
ASV212	0.74
