FeatName	RelFeatImp
ASV220	100.0
ASV177	87.21
ASV89	83.46
ASV129	83.37
ASV18	83.3
ASV227	79.14
ASV33	77.1
ASV138	71.94
ASV23	70.63
ASV284	69.51
ASV95	66.75
ASV204	66.17
ASV2	65.73
ASV10	65.61
ASV16	64.88
ASV379	64.79
ASV11	64.55
ASV48	64.38
ASV38	64.08
ASV184	63.68
ASV64	61.06
ASV68	60.23
ASV106	59.26
ASV32	59.25
ASV180	58.79
ASV65	58.64
ASV14	57.69
ASV245	57.67
ASV133	57.37
ASV31	57.09
ASV74	56.67
ASV234	56.59
ASV4	55.87
ASV27	55.76
ASV482	55.6
ASV96	55.56
ASV76	55.47
ASV449	54.86
ASV46	54.65
ASV8	54.33
ASV43	54.29
ASV240	54.29
ASV6	53.15
ASV22	52.19
ASV110	52.05
ASV62	51.73
ASV98	51.57
ASV54	51.52
ASV408	51.17
ASV289	49.75
ASV12	48.59
ASV24	48.51
ASV34	48.06
ASV45	48.05
ASV109	47.91
ASV86	47.11
random_variable1	46.77
ASV47	46.69
ASV7	46.63
ASV108	46.27
ASV175	46.0
ASV30	45.65
ASV197	45.51
ASV3	45.04
ASV59	44.59
ASV87	44.38
ASV85	44.07
ASV15	43.89
ASV57	43.8
ASV251	43.64
ASV212	43.53
ASV237	43.2
ASV21	43.18
ASV69	43.04
ASV37	42.62
ASV419	42.23
ASV91	42.05
ASV49	41.75
ASV137	40.98
ASV281	40.33
ASV218	39.93
ASV163	39.44
ASV72	39.09
ASV67	38.77
ASV320	38.75
ASV297	38.68
ASV56	38.2
ASV25	37.63
ASV224	37.47
ASV52	37.35
ASV125	37.12
ASV79	36.78
ASV217	36.76
ASV123	36.47
ASV13	36.27
ASV292	35.65
ASV9	35.63
ASV401	35.42
ASV42	35.35
ASV83	34.9
ASV26	34.16
ASV285	34.05
ASV39	33.92
ASV335	33.91
ASV60	33.7
ASV36	33.64
ASV158	33.58
ASV19	33.4
ASV371	33.36
ASV17	33.24
ASV141	32.76
ASV193	32.71
ASV5	32.71
ASV99	31.95
ASV81	31.92
ASV58	31.92
ASV491	31.87
ASV326	31.75
ASV1	31.59
ASV63	31.4
ASV103	31.28
ASV198	31.01
ASV186	30.92
ASV293	30.72
ASV144	30.65
ASV121	30.41
ASV82	30.25
ASV112	30.08
ASV55	30.04
ASV29	29.83
ASV50	29.48
random_variable2	29.38
ASV352	29.37
ASV92	28.86
ASV20	28.86
ASV71	28.58
ASV270	28.45
ASV152	28.28
ASV303	28.19
ASV28	28.04
ASV283	27.94
ASV309	27.76
ASV148	27.7
ASV187	26.96
ASV383	26.77
ASV117	26.0
ASV166	25.91
ASV127	25.81
ASV84	24.65
ASV124	24.23
ASV170	24.1
ASV196	23.96
ASV73	23.55
ASV53	23.51
ASV321	23.03
ASV299	22.56
ASV140	22.18
ASV128	22.16
ASV155	22.1
ASV243	21.4
ASV143	21.11
ASV262	20.86
ASV134	20.26
ASV115	20.17
ASV333	19.83
ASV447	19.81
ASV209	19.79
ASV208	19.18
ASV90	19.12
ASV156	18.88
ASV246	18.8
ASV176	18.68
ASV114	18.54
ASV44	18.06
ASV388	17.79
ASV78	17.45
ASV104	16.65
ASV485	16.52
ASV172	14.68
ASV132	14.58
ASV201	14.24
ASV80	13.26
ASV136	11.97
