FeatName	RelFeatImp
ASV106	100.0
ASV31	99.84
ASV388	97.59
ASV109	95.2
ASV7	93.51
ASV193	93.09
ASV6	92.62
ASV227	84.44
ASV54	83.63
ASV204	80.77
ASV201	79.78
ASV482	78.98
ASV34	77.51
ASV90	77.35
ASV47	76.31
ASV309	73.29
ASV184	71.19
ASV69	71.05
ASV125	70.96
ASV129	69.31
ASV103	69.22
ASV170	67.87
ASV180	67.52
ASV83	67.06
ASV2	66.47
ASV13	64.27
ASV15	63.44
ASV12	60.8
ASV9	60.69
ASV14	60.69
ASV73	60.43
ASV1	59.85
ASV447	59.29
ASV37	59.19
ASV62	58.74
ASV36	58.71
ASV27	58.59
ASV81	58.58
ASV245	57.85
ASV4	57.31
ASV234	56.79
ASV8	56.04
ASV209	55.98
ASV112	55.92
random_variable1	55.81
ASV11	55.68
ASV58	54.7
ASV134	54.39
ASV84	53.9
ASV48	53.86
ASV177	53.73
ASV74	53.7
ASV72	51.31
ASV220	51.19
ASV283	51.09
ASV127	50.72
ASV50	49.36
ASV30	49.23
ASV85	49.18
ASV138	48.8
ASV46	47.99
ASV320	47.63
ASV43	47.62
ASV45	47.57
ASV76	47.07
ASV26	45.62
ASV98	45.61
ASV18	45.45
ASV32	45.01
ASV29	44.89
ASV218	44.74
ASV39	44.51
ASV21	43.58
ASV141	43.56
ASV121	43.0
ASV95	42.72
ASV186	42.64
ASV60	42.57
ASV19	42.53
ASV123	42.18
ASV63	42.17
ASV33	41.74
ASV419	41.4
ASV65	41.39
ASV144	41.32
ASV289	40.79
ASV49	40.75
ASV175	40.4
ASV117	39.9
ASV52	39.38
ASV485	38.81
ASV20	38.71
ASV99	38.57
ASV110	38.44
ASV140	38.31
ASV143	37.68
ASV38	37.31
ASV23	36.17
ASV86	35.89
ASV198	35.75
ASV59	35.75
ASV401	35.66
ASV371	35.62
ASV56	35.46
ASV24	34.7
ASV22	34.39
ASV10	34.2
ASV292	34.03
ASV71	33.91
ASV299	33.82
ASV87	33.79
ASV96	33.75
ASV155	33.43
ASV67	33.36
ASV251	33.08
ASV17	33.06
ASV132	32.96
ASV243	32.91
ASV79	32.14
ASV187	32.14
ASV5	32.01
ASV28	31.53
ASV133	31.31
ASV55	30.64
ASV42	29.73
ASV82	29.7
ASV326	29.58
ASV148	29.35
ASV217	29.22
ASV449	29.14
ASV197	28.85
ASV3	28.74
ASV281	28.63
ASV78	28.59
ASV172	28.15
ASV408	27.53
ASV284	27.49
random_variable2	27.47
ASV57	27.42
ASV53	27.38
ASV92	27.27
ASV270	27.26
ASV25	26.68
ASV68	26.6
ASV91	25.91
ASV333	25.81
ASV352	25.67
ASV158	25.66
ASV240	25.33
ASV321	25.2
ASV152	24.86
ASV44	24.51
ASV491	24.48
ASV114	24.35
ASV115	23.91
ASV64	23.83
ASV335	23.72
ASV224	23.23
ASV208	22.72
ASV246	22.66
ASV196	22.34
ASV156	22.21
ASV108	22.05
ASV383	21.93
ASV89	21.88
ASV293	21.88
ASV303	21.74
ASV16	20.46
ASV379	20.02
ASV212	19.38
ASV166	19.25
ASV237	18.41
ASV137	17.61
ASV163	17.2
ASV128	14.47
ASV80	14.44
ASV262	14.38
ASV124	13.97
ASV136	13.66
ASV285	12.88
ASV297	10.99
ASV176	10.73
ASV104	9.32
