FeatName	RelFeatImp
ASV262	100.0
ASV98	87.64
ASV22	53.88
ASV42	53.47
ASV299	52.51
ASV9	49.62
ASV335	48.89
ASV56	48.65
ASV209	47.94
ASV44	47.71
ASV3	46.39
ASV62	43.34
ASV303	42.99
ASV447	39.5
ASV336	38.94
ASV83	37.05
ASV175	36.68
ASV63	36.53
ASV136	33.02
ASV17	32.64
ASV108	32.27
ASV19	32.26
ASV156	32.09
ASV47	31.91
ASV50	31.58
ASV123	30.83
ASV138	30.69
ASV11	30.52
ASV95	30.5
ASV33	30.16
ASV57	29.95
ASV110	29.63
ASV152	29.23
ASV114	29.19
random_variable1	28.79
ASV48	28.54
ASV180	28.3
ASV58	28.02
ASV54	27.04
ASV23	26.31
ASV117	26.2
ASV129	26.18
ASV86	25.87
ASV419	25.7
ASV15	25.47
ASV59	25.46
ASV170	25.39
ASV163	25.24
ASV2	25.22
ASV245	25.2
ASV28	24.97
ASV91	24.68
ASV21	24.34
ASV16	24.28
ASV128	24.22
ASV137	23.84
ASV218	23.83
ASV12	23.78
ASV158	23.72
ASV82	23.41
ASV30	23.09
ASV38	23.05
ASV234	22.87
ASV131	22.81
ASV5	22.47
ASV78	22.46
ASV284	22.33
ASV99	22.26
ASV81	21.93
ASV283	21.89
ASV46	21.54
ASV132	21.24
ASV106	21.24
ASV388	21.21
ASV72	21.19
ASV8	21.15
ASV27	20.91
ASV18	20.78
ASV96	20.69
ASV52	20.42
ASV155	20.42
ASV92	20.33
ASV240	20.04
ASV133	19.93
ASV69	19.71
ASV352	19.64
ASV289	19.37
ASV140	19.19
ASV197	19.17
ASV39	19.08
ASV201	18.78
ASV6	18.6
ASV143	18.44
ASV10	18.36
ASV270	18.33
ASV124	18.23
ASV67	18.22
ASV220	17.9
ASV4	17.63
ASV186	17.39
ASV243	17.29
ASV127	17.23
ASV85	17.0
ASV68	16.99
ASV76	16.94
ASV285	16.86
ASV45	16.72
ASV74	16.5
ASV90	16.47
ASV292	16.37
ASV36	16.3
ASV408	16.2
ASV383	16.16
ASV43	16.12
ASV34	15.91
ASV7	15.76
ASV32	15.76
ASV37	15.65
ASV166	15.64
ASV193	15.51
ASV144	15.32
ASV176	15.27
ASV84	15.12
ASV73	14.88
ASV65	14.86
ASV309	14.79
ASV49	14.73
ASV31	14.69
ASV71	14.62
ASV109	14.6
ASV333	14.39
ASV449	14.37
ASV401	14.14
ASV204	14.14
ASV87	14.12
ASV115	14.03
ASV24	13.88
ASV13	13.64
ASV60	13.57
ASV125	13.38
ASV237	13.36
ASV1	12.94
ASV25	12.76
ASV251	12.65
ASV64	12.6
ASV321	12.54
ASV79	12.35
ASV148	12.16
ASV104	12.09
ASV55	11.99
ASV20	11.91
ASV212	11.9
ASV491	11.81
ASV29	11.58
ASV103	11.57
ASV184	11.51
ASV371	11.49
ASV187	11.37
ASV177	10.99
ASV246	10.96
ASV14	10.87
ASV208	10.14
ASV379	10.12
ASV121	10.05
ASV217	10.01
random_variable2	9.73
ASV80	9.53
ASV326	9.44
ASV196	9.17
ASV485	8.68
ASV89	8.31
ASV224	8.04
ASV26	7.83
ASV297	7.82
ASV307	7.71
ASV141	7.46
ASV134	7.17
ASV172	7.04
ASV293	6.89
ASV320	6.48
ASV112	6.44
ASV227	6.2
ASV482	5.21
ASV198	4.68
ASV281	3.96
ASV53	2.79
